BENNE	DATE PROD
BBMS 11'-0 x 30 x 42D 20T 2T,MI,0c0cSL	03-nov-25
BBMS 11'-0 x 30 x 42D 20T 2T,MI,0c0cSL,3CD	03-nov-25
BBMS 11'-0 x 30 x 42D 20T 0T0TC,MI,0c0cSL,3CD	03-nov-25
BMS 14'-0 x 30 x 42D 30T 0T0TC,MI,0c0cSL,3CD	03-nov-25
BFL-P 17'-0 x 48 x 54I 40T 2T,T-R,NTRA,NPAC,CC,MI,E1,P1,CLÉà7	02-nov-25
BMT-S 20'-0 x 48 x 54I 00 DPP,F3/8,SOH,S3/8,PHL,2T,T-R,NTRA,CC,0PP,0MI,E1,P1,CLÉà7,FEIN	02-nov-25
BMT-S 20'-0 x 48 x 54I 00 DPP,F3/8,SOH,S3/8,PHL,2T,T-R,NTRA,CC,0PP,0MI,E1,P1,CLÉà7,FEIN	02-nov-25
MS-HD 14'-0 x 24 x 36D 00 ROLL-OFF,0T0TC,PPMDA,0MI,OPM,3CD,ROFFROL	02-nov-25
MS-HD 11'-0 x 30 x 42D 00 ROLL-OFF,0T0TC,PPMDA,MI,OPM,3CD	02-nov-25
BMT-S 17'-0 x 48 x 60I 40T DHD,S3/8,D1/4,PHL,MI,LF1/4,LC3/16	01-nov-25
BMT-S 17'-6 x 54 x 60I 40T DHD,DRV,F3/8,S3/8,D1/4,C 1/4,PHL,B45,2T,MI,CLÉ	01-nov-25
BMT-S 18'-0 x 54 x 60I 40T DHD,DRV,F3/8,S3/8,D1/4,C 1/4,PHL,B45,2T,MI,CLÉ,1CD	01-nov-25
BMT-S 18'-0 x 54 x 60I 40T DHD,DRV,F3/8,S3/8,D1/4,C 1/4,PHL,B45,2T,MI,CLÉ,1CD	01-nov-25
MS-HD 11'-0 x 30 x 42D 00 ROLL-OFF,0T0TC,PPMDA,MI,OPM	01-nov-25
MS-HD 14'-0 x 24 x 36D 00 ROLL-OFF,0T0TC,PPMDA,0MI,OPM,3CD,ROFFROL	01-nov-25
BBMT 11'-0 x 30 x 42D 20T 2T,MI,3CD	01-oct-25
BBFL 12'-0 x 36 x 26I 20T PORTE 48/26,CAL,2T,PPMDA,CC,MI,CLÉà10	01-oct-25
BBFL 12'-0 x 24 x 30D 00 ROLL-OFF,0T0TC,0MI,0c0cSL,OPM,ROFFROL	01-oct-25
MS-HD 10'-0 x 30 x 36D 00 ROLL-OFF,PPMDA,MI,OPM,ROFFROL	01-oct-25
MS-HD 10'-0 x 30 x 36D 00 ROLL-OFF,PPMDA,MI,OPM,ROFFROL	01-oct-25
BBMT 11'-0 x 30 x 42D 20T 2T,MI,3CD	01-oct-25
BBMT 11'-0 x 30 x 42D 20T 2T,MI,3CD	01-oct-25
BBMT 11'-0 x 30 x 42D 20T 2T,MI,3CD	01-oct-25
BMS 17'-0 x 54 x 60I 40T 3T,MI,CLÉ,1CD	05-sept-25
BMS 17'-6 x 48 x 60I 40T 2T,MI,PC30à81	05-sept-25
BBFS 10'-0 x 36 x 42D 20T L96,2T,PPMDA,MI,CLÉà16,3CD,PC24à78	05-sept-25
BFS 14'-0 x 42 x 54D 30T POC,2T,MI,CLÉ,3CD(G)(G)(G),PC30à70	05-sept-25
BBMS 11'-0 x 30 x 42D 20T 2T,MI,0c0cSL,3CD	04-sept-25
BBMS 11'-0 x 30 x 42D 20T 2T,MI,0c0cSL,3CD	04-sept-25
BBFS 11'-0 x 30 x 42D 0T ROLL-OFF,0T0TC,PPMDA,MI,OPM,3CD,ROFFROL	04-sept-25
BBFS 11'-0 x 30 x 42D 0T ROLL-OFF,0T0TC,PPMDA,MI,OPM,3CD,ROFFROL	04-sept-25
BMT-S 17'-6 x 6048 x 60I 40T B45,I12,3T,0MI,P2C,BS-A5,BS-A43,BS-A11,BS-45	03-sept-25
BMT-S 17'-6 x 6048 x 60I 40T B45,I12,3T,0MI,P2C,BS-A5,BS-A43,BS-A11,BS-45	03-sept-25
BMT-S 17'-6 x 6048 x 60I 40T B45,I12,3T,0MI,P2C,BS-A5,BS-A43,BS-A11,BS-45	03-sept-25
BBMT 11'-0 x 30 x 42D 20T 2T,MI,3CD	03-sept-25
BBMT 11'-0 x 30 x 42D 20T 2T,MI	03-sept-25
MS-HD 11'-0 x 30 x 42D 20T 2T,PPMDA,MI,1CD	03-sept-25
MS-HD 11'-0 x 30 x 42D 20T 2T,PPMDA,MI,1CD	03-sept-25
BBMT 11'-0 x 30 x 42D 20T POC,2T,MI	02-sept-25
BBMT 12'-0 x 24 x 42D 20T 2T,0MI	02-sept-25
BBMT 11'-0 x 36 x 42D 20T 2T,MI,0c0cSL,3CD(G)(D)(D)	02-sept-25
BBMT 11'-0 x 36 x 42D 20T 2T,MI,0c0cSL,3CD(G)(D)(D)	02-sept-25
MS-HD 11'-0 x 30 x 42D 00 ROLL-OFF,0T0TC,PPMDA,MI,OPM,ROFFROL	02-sept-25
MS-HD 12'-0 x 24 x 36D 00 ROLL-OFF,0T0TC,PPMDA,0MI,OPM,3CD	02-sept-25
EL-250 19'-6 x 6048 x 54I 40T DRV,PHL,B45,2T,0MI,CLÉ	03-août-25
BBMT 11'-0 x 36 x 42D 00 ROLL-OFF,0T0TC,PPMDA,MI,OPM	03-août-25
BFL-S 20'-6 x 48 x 60I 50T OPTW,SOH,TRTA,TFIL,CC,MI,E1,P1,CLÉ	03-août-25
BFL-S 19'-0 x 6048 x 54I 40T D45,B45,I12,2T,0MI,P2C	03-août-25
BFL-S 19'-0 x 6048 x 54I 40T D45,B45,I12,2T,0MI,P2C	03-août-25
BFL-S 19'-0 x 6048 x 54I 40T D45,B45,I12,2T,0MI,P2C	03-août-25
MS-HD 11'-0 x 30 x 42D 20T 2T,PPMDA,MI	01-août-25
MS-HD 11'-0 x 24 x 36D 20T 2T,PPMDA,3CD	01-août-25
BBMT 10'-0 x 30 x 42D 20T 2T,MI,3CD	01-août-25
BBMT 10'-0 x 30 x 42D 20T 2T,MI,3CD	01-août-25
BBMT 10'-0 x 24 x 36D 20T B-67à10,2T,3CD	01-août-25
BBMT 11'-0 x 36 x 42D 20T 2T,MI,0c0cSL,3CD(G)(D)(D)	01-août-25
BBMT 11'-0 x 36 x 42D 20T 2T,MI,0c0cSL,3CD(G)(D)(D)	01-août-25
BBMT 11'-0 x 30 x 42D 20T 2T,MI,3CD	01-août-25
BMT-S 14'-0 x 54 x 66D 30T 2T,MI,3CD	01-août-25
BBFL 12'-0 x 36 x 42D 00 SANS MAIN,POC,2T,MI,E1,P1,PC24à74 1/2	01-août-25
BMT-S 17'-0 x 6654 x 60I 40T B45,3T,0MI,P2C,BGR,BS-A7,BS-A5,BS-A11	02-juil-25
BMT-S 17'-0 x 6654 x 60I 40T B45,3T,0MI,P2C,BGR,BS-A7,BS-A5,BS-A11	02-juil-25
BBFS 11'-6 x 30 x 36D 20T L96,SOBE,0T0TC,0PP,0MI,0c0cSL	02-juil-25
BBFS 11'-6 x 30 x 36D 20T L96,SOBE,0T0TC,0PP,0MI,0c0cSL	02-juil-25
BBFS 11'-0 x 30 x 36I 20T 2T,MI,0c0cSL,CLÉà11	02-juil-25
BBFS 11'-0 x 30 x 36I 20T 2T,MI,0c0cSL,CLÉà11	02-juil-25
BBFS 10'-0 x 30 x 36I 20T 2T,MI,0c0cSL,CLÉà11	02-juil-25
BBFS 10'-0 x 30 x 36I 20T 2T,MI,0c0cSL,CLÉà11	02-juil-25
BMT-S 17'-6 x 60 x 66D 40T DHD,DRV,F3/8,S3/8,D1/4,C 1/4,PHL,B45,MI,P2C	01-juil-25
BMT-S 17'-6 x 60 x 66D 40T DHD,DRV,F3/8,S3/8,D1/4,C 1/4,PHL,B45,MI,P2C	01-juil-25
BFL-S 14'-6 x 48 x 60D 00 SANS MAIN,SOB,POC,2T,T-R,NTRA,NPAC,CC,MI,E1,P1,CLÉà14½	01-juil-25
BFL-S 15'-6 x 36 x 42I 30T POT SP,DRV,MI,CLÉà20	01-juil-25
BFL-S 15'-6 x 54 x 60I 30T DRV,PHL,TRTA,MI,CLÉ	01-juil-25
BFL-S 15'-6 x 54 x 60I 30T DRV,PHL,TRTA,MI,CLÉ	01-juil-25
EL-188 16'-0 x 48 x 60D 40T DRV,PHL,MI	02-juin-25
EL-250 16'-0 x 60 x 62D 40T 2T,MI,CLÉ,2CD (G)  (D) PROTO	02-juin-25
